PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
246464	2043	15
237609	2043	15
237610	2043	15
237611	2043	15
237612	2043	15
236718	2043	15
236526	2043	15
236543	2043	15
236547	2043	15
236551	2043	
236554	2043	15
237613	2043	15
237614	2043	15
237615	2043	15
237616	2043	15
237617	2043	15
235888	2043	15
235914	2043	15
235924	2043	15
235957	2043	15
235972	2043	15
236052	2043	15
236064	2043	15
252739	2043	15
239137	2043	15
239138	2043	15
239139	2043	15
238811	2043	15
235597	2043	15
235610	2043	15
235662	2043	15
237648	2043	15
246453	2043	15
247961	2043	15
237544	2043	15
237577	2043	15
237581	2043	15
237585	2043	15
237586	2043	15
237591	2043	15
237595	2043	15
239203	2043	15
247121	2043	15
259632	2043	15
235839	2043	15
237596	2043	15
237597	2043	15
237598	2043	15
237599	2043	15
237600	2043	15
237601	2043	15
237602	2043	15
237603	2043	15
235948	2043	15
237505	2043	15
237509	2043	15
237510	2043	15
237621	2043	15
237622	2043	15
237623	2043	15
237624	2043	15
237627	2043	15
237628	2043	15
237223	2043	15
237759	2043	15
237772	2043	15
237775	2043	15
237776	2043	15
236740	2043	15
236747	2043	15
236748	2043	15
236751	2043	15
237667	2043	15
237604	2043	15
237605	2043	15
237606	2043	15
237607	2043	15
237618	2043	15
237619	2043	15
237620	2043	15
245920	2043	15
238800	2043	15
239057	2043	15
236706	2043	
236140	2043	15
236141	2043	15
236142	2043	15
236143	2043	15
236144	2043	15
236145	2043	15
235986	2043	15
236019	2043	15
236561	2043	15
236562	2043	15
236577	2043	15
236687	2043	15
236721	2043	15
242064	2043	15
242065	2043	15
242066	2043	15
242067	2043	15
236146	2043	15
236187	2043	15
236188	2043	15
249417	2043	15
246405	2043	15
117013	2043	15
242068	2043	15
242069	2043	15
242074	2043	15
242075	2043	15
242076	2043	15
240135	2043	
245169	2043	15
238221	2043	
235779	2043	
238150	2043	15
238159	2043	15
238160	2043	15
238168	2043	15
247042	2043	15
245609	2043	15
240975	2043	15
240977	2043	15
246291	1965	15
239847	2043	15
240143	2043	15
238049	2043	15
246945	2043	15
247094	2043	15
240080	2043	15
239997	2043	15
236232	2043	15
239633	2043	15
239634	2043	15
241291	2043	15
241293	2043	15
246402	2043	15
240089	2043	15
246406	2043	15
246407	2043	15
246511	2043	15
235637	2043	15
231992	2043	15
245193	2043	15
236391	2043	15
236258	2043	15
247208	2043	15
236372	2043	15
235784	2043	15
235788	2043	15
238296	2043	15
240041	2043	15
240359	2043	15
239774	2043	15
239776	2043	15
237590	2043	15
237593	2043	15
239812	2043	15
239815	2043	15
240056	2043	15
239857	2043	15
239858	2043	15
235819	2043	15
235612	2043	15
235654	2043	15
235673	2043	15
240066	2043	15
235643	2043	15
240180	2043	15
240016	2043	15
239859	2043	15
239039	2043	15
240063	2043	15
240064	2043	15
240065	2043	15
239737	2043	15
246100	2043	15
239806	2043	15
239809	2043	15
237962	2043	15
237963	2043	15
235810	2043	15
235816	2043	15
239780	2043	15
239823	2043	15
240120	2043	15
239854	2043	15
236872	2043	15
240500	2043	15
240501	2043	15
239767	2043	15
239778	2043	15
239810	2043	15
239832	2043	15
239563	2043	15
197967	2083	15
239643	2043	15
239644	2043	15
239913	2043	15
237534	2043	15
239795	2043	15
239801	2043	15
239802	2043	15
239803	2043	15
226621	2043	15
239902	2043	15
236435	2043	15
236443	2043	15
236451	2043	15
239668	2043	15
246907	2043	15
235279	2043	15
235416	2043	15
235280	2043	15
254537	2043	15
251912	2043	15
251917	2043	15
251918	2043	15
238466	2043	15
235918	2043	15
236242	2043	15
252288	2043	15
252289	2043	15
260947	2043	15
252395	2043	15
252396	2043	15
252397	2043	15
252398	2043	15
252399	2043	15
252290	2043	15
252291	2043	15
252292	2043	15
252293	2043	15
252294	2043	15
252082	2043	15
252168	2043	15
252181	2043	15
252182	2043	15
252317	2043	15
252318	2043	15
252400	2043	15
252401	2043	15
252404	2043	15
252405	2043	15
252406	2043	15
252282	2043	15
252284	2043	15
252323	2043	15
252324	2043	15
252327	2043	15
252333	2043	15
252436	2043	15
118718	2043	15
252407	2043	15
252408	2043	15
252409	2043	15
252410	2043	15
252411	2043	15
252412	2043	15
242346	2043	15
242347	2043	15
242350	2043	15
252442	2043	15
252446	2043	15
252447	2043	15
252448	2043	15
252463	2043	15
252413	2043	15
252485	2043	15
252453	2043	15
252459	2043	15
252462	2043	15
252486	2043	15
252488	2043	15
252374	2043	15
252375	2043	15
252376	2043	15
252416	2043	15
252433	2043	15
252437	2043	15
252464	2043	15
252471	2043	15
251970	2043	15
252004	2043	15
252013	2043	15
252474	2043	15
252218	2043	15
